RegulatedEntityName,DonationsValue,DonationEvents,DonationMean,RegEntity_Group
Conservative Rural Action Group,588911.0,6,98151.83333333333,Very Small Entity
Conservative Voice Limited,50000.0,3,16666.666666666668,Very Small Entity
Conservative and Unionist Party,419413549.81,20356,20603.927579583415,Conservative and Unionist Party
Conservative/Unionist Members 1922 Committee,103500.0,10,10350.0,Very Small Entity
Conservatives IN Ltd,1798815.76,75,23984.210133333334,Small Entity
Conservatives for Change Ltd,189000.0,14,13500.0,Very Small Entity
Constituency Campaigning Services Board,1976631.99,36,54906.44416666667,Very Small Entity
County Durham Council Supporters Club,5710.0,2,2855.0,Very Small Entity
Craig Mackinlay MP,4500.0,2,2250.0,Very Small Entity
Craig Tracey MP,2000.0,1,2000.0,Single Donation Entity
Craig Williams,7852.0599999999995,3,2617.353333333333,Very Small Entity
Cruelty Free International,600.0,1,600.0,Single Donation Entity
Cumbria Broadband Rural and Community Projects Limited,20145.0,3,6715.0,Very Small Entity
DDB UK Limited,191000.0,7,27285.714285714286,Very Small Entity
Dame Angela Watkinson MP,13465.8,5,2693.16,Very Small Entity
Dame Anne Begg MP,9754.33,3,3251.443333333333,Very Small Entity
Dame Louise Ellman MP,11992.56,7,1713.222857142857,Very Small Entity
Dame Rosie Winterton MP,9600.0,3,3200.0,Very Small Entity
Dan Carden,19412.75,3,6470.916666666667,Very Small Entity
Dan Jarvis MP,245617.19,24,10234.049583333333,Very Small Entity
Daniel Johnson,6400.0,1,6400.0,Single Donation Entity
Daniel Poulter MP,12500.0,1,12500.0,Single Donation Entity
Daniel Zeichner MP,2998.65,1,2998.65,Single Donation Entity
David Jones MP,14770.26,4,3692.565,Very Small Entity
David Linden,1989.48,1,1989.48,Single Donation Entity
David Mackintosh MP,8037.0,3,2679.0,Very Small Entity
David Morris MP,84893.67,24,3537.23625,Very Small Entity
David Nuttall MP,2179.18,1,2179.18,Single Donation Entity
Dawn Butler MP,17147.0,3,5715.666666666667,Very Small Entity
Deep Blue,2500.0,1,2500.0,Single Donation Entity
Deidre Brock,4400.0,2,2200.0,Very Small Entity
Democracy 2015 [De-registered 01/11/14],19114.739999999998,4,4778.6849999999995,Very Small Entity
Democracy Movement,845614.52,4,211403.63,Very Small Entity
Democratic Unionist Party - D.U.P.,1031146.9,73,14125.300000000001,Small Entity
Derek Thomas,17821.0,2,8910.5,Very Small Entity
Don't Cook Party [De-registered 20/06/14],75000.0,2,37500.0,Very Small Entity
Douglas Ross MSP,2000.0,1,2000.0,Single Donation Entity
Dr Alasdair McDonnell MP,3500.0,1,3500.0,Single Donation Entity
Dr Andrew Murrison MP,24850.0,9,2761.1111111111113,Very Small Entity
Dr Ashok Kumar MP,18882.8,7,2697.542857142857,Very Small Entity
Dr Brian Iddon MP,10345.2,2,5172.6,Very Small Entity
Dr Caroline Lucas MP,200740.0,21,9559.047619047618,Very Small Entity
Dr Charles Tannock MEP,17584.87,5,3516.9739999999997,Very Small Entity
Dr Desmond Turner MP,2342.39,1,2342.39,Single Donation Entity
Dr Gavin Strang,5245.2,1,5245.2,Single Donation Entity
Dr Gregg McClymont MP,2025.0,1,2025.0,Single Donation Entity
Dr Howard Stoate MP,10745.2,2,5372.6,Very Small Entity
Dr Julian Huppert MP,43034.0,3,14344.666666666666,Very Small Entity
Dr Laurence Carmichael,2000.0,1,2000.0,Single Donation Entity
Dr Lewis Moonie,5245.2,1,5245.2,Single Donation Entity
Dr Lisa Cameron MP,25181.78,7,3597.3971428571426,Very Small Entity
Dr Lynne Jones MP,6415.2,2,3207.6,Very Small Entity
Dr Matthew Offord MP,24749.7,10,2474.9700000000003,Very Small Entity
Dr Phillip Lee MP,50853.479999999996,11,4623.043636363636,Very Small Entity
Dr Phyllis Starkey MP,2000.0,1,2000.0,Single Donation Entity
Dr Robert Spink,15006.5,4,3751.625,Very Small Entity
Dr Rudi Vis,5245.2,1,5245.2,Single Donation Entity
Dr Stella Creasy MP,14832.0,4,3708.0,Very Small Entity
Dr Stephen Ladyman MP,14100.0,4,3525.0,Very Small Entity
Dr Tania Mathias,19500.0,4,4875.0,Very Small Entity
Dr Thérèse Coffey MP,33574.09,4,8393.5225,Very Small Entity
Duma Polska = Polish Pride,58600.0,22,2663.6363636363635,Very Small Entity
East Herts People [De-registered 05/11/13],22047.71,2,11023.855,Very Small Entity
Economists For Remain,22565.0,1,22565.0,Single Donation Entity
Economists for Brexit,60000.0,4,15000.0,Very Small Entity
Edward Argar MP,13217.0,4,3304.25,Very Small Entity
Elisha McCallion,1809.74,1,1809.74,Single Donation Entity
Elizabeth Savage,2187.55,1,2187.55,Single Donation Entity
Emma Little-Pengelly MP,2700.0,1,2700.0,Single Donation Entity
English Democrats,99000.0,11,9000.0,Very Small Entity
European Movement of the UK Ltd,546239.0,54,10115.537037037036,Small Entity
European Research Group (ERG),10000.0,1,10000.0,Single Donation Entity
Fabian Society,14300.0,2,7150.0,Very Small Entity
Fair Pay Fair Trade Party [De-registered 27/07/09],16040.0,2,8020.0,Very Small Entity
Flick Drummond MP,2800.0,1,2800.0,Single Donation Entity
Focus on Scotland,649240.0,34,19095.29411764706,Very Small Entity
Forward Wales [De-registered 16/03/10],55662.5,11,5060.227272727273,Very Small Entity
Freedom and Responsibility [De-registered 07/06/11],28286.11,10,2828.611,Very Small Entity
Friends of Northumberland County (FONC),5000.0,1,5000.0,Single Donation Entity
Friends of the Earth Trust,60000.0,2,30000.0,Very Small Entity
Fulham Group [De-registered 04/11/15],25000.0,1,25000.0,Single Donation Entity
GO Movement Ltd,45025.92,5,9005.184,Very Small Entity
Gareth Thomas MP,8500.0,3,2833.3333333333335,Very Small Entity
Gareth Wallace,1650.0,1,1650.0,Single Donation Entity
Gary Fleming,1887.89,1,1887.89,Single Donation Entity
Gary Godden,5211.72,1,5211.72,Single Donation Entity
Gavin Newlands MP,5100.0,1,5100.0,Single Donation Entity
Gavin Williamson,30000.0,2,15000.0,Very Small Entity
George Eustice MP,2000.0,1,2000.0,Single Donation Entity
Gillian Keegan,1948.13,1,1948.13,Single Donation Entity
Global Britain Limited,470520.89,3,156840.29666666666,Very Small Entity
Glyn Davies MP,1768.0,1,1768.0,Single Donation Entity
Gordon Matheson,26045.89,3,8681.963333333333,Very Small Entity
Graham Brady MP,42945.42,7,6135.0599999999995,Very Small Entity
Grassroots Out Ltd,2611474.76,18,145081.9311111111,Very Small Entity
Green Party,4976510.87,1045,4762.211358851675,Green Party
Green-Leaves,20000.0,2,10000.0,Very Small Entity
Gwyn Prosser MP,5245.2,1,5245.2,Single Donation Entity
HOPE not hate Ltd,4500.0,1,4500.0,Single Donation Entity
Hannah Bardell MP,7437.09,2,3718.545,Very Small Entity
Hatch Connect UK Ltd,70000.0,6,11666.666666666666,Very Small Entity
Heidi Allen,5000.0,1,5000.0,Single Donation Entity
Helen Whately MP,9954.0,3,3318.0,Very Small Entity
Henry Smith MP,37084.8,9,4120.533333333334,Very Small Entity
Hope Not Hate Ltd,11950.0,1,11950.0,Single Donation Entity
Hope not Hate Ltd,554893.0,21,26423.47619047619,Very Small Entity
Howard's End Ltd,8000.0,1,8000.0,Single Donation Entity
Ian Mearns MP,68082.0,4,17020.5,Very Small Entity
Ian Paisley MP,11386.26,3,3795.42,Very Small Entity
Imaginexit Limited,50000.0,5,10000.0,Very Small Entity
Independent Kidderminster Hospital and Health Concern,31949.0,8,3993.625,Very Small Entity
Independent Labour Group [De-registered 03/11/16],8000.0,1,8000.0,Single Donation Entity
Islington Labour Group,24000.0,2,12000.0,Very Small Entity
Jack Dromey MP,5000.0,1,5000.0,Single Donation Entity
Jack Lopresti MP,41933.26,11,3812.114545454546,Very Small Entity
James Cleverly MP,31969.35,8,3996.16875,Very Small Entity
James Davies MP,2500.0,1,2500.0,Single Donation Entity
James Morris MP,67200.0,6,11200.0,Very Small Entity
Jamie Greene MSP,8000.0,2,4000.0,Very Small Entity
Jamie Reed MP,4539.5,2,2269.75,Very Small Entity
Jane Dodds,3529.41,2,1764.705,Very Small Entity
Jeff Smith MP,15168.82,3,5056.2733333333335,Very Small Entity
Jenny Gilruth MSP,8579.26,1,8579.26,Single Donation Entity
Jenny Rathbone,2431.71,1,2431.71,Single Donation Entity
Jeremy Balfour,6500.0,1,6500.0,Single Donation Entity
Jeremy Peter Middleton,2000.0,1,2000.0,Single Donation Entity
